licitacaoId;uf;orgao;classe;itemLote;participante;proposta;winner;source;plantedId
COVER-1;SP;BAURU-F2;cover-class;item-1;51051011000191;10000;true;tce_sp;COVER
COVER-1;SP;BAURU-F2;cover-class;item-1;51051022000172;18000;false;tce_sp;COVER
COVER-2;SP;BAURU-F2;cover-class;item-1;51051011000191;11000;true;tce_sp;COVER
COVER-2;SP;BAURU-F2;cover-class;item-1;51051022000172;20000;false;tce_sp;COVER
ROTATION-1;RS;ROTATION-ORGAO;rotation-class;item-1;52052011000191;10000;true;tce_rs;ROTATION
ROTATION-1;RS;ROTATION-ORGAO;rotation-class;item-1;52052022000172;25000;false;tce_rs;ROTATION
ROTATION-1;RS;ROTATION-ORGAO;rotation-class;item-1;52052033000153;40000;false;tce_rs;ROTATION
ROTATION-2;RS;ROTATION-ORGAO;rotation-class;item-1;52052011000191;25000;false;tce_rs;ROTATION
ROTATION-2;RS;ROTATION-ORGAO;rotation-class;item-1;52052022000172;10000;true;tce_rs;ROTATION
ROTATION-2;RS;ROTATION-ORGAO;rotation-class;item-1;52052033000153;40000;false;tce_rs;ROTATION
ROTATION-3;RS;ROTATION-ORGAO;rotation-class;item-1;52052011000191;40000;false;tce_rs;ROTATION
ROTATION-3;RS;ROTATION-ORGAO;rotation-class;item-1;52052022000172;25000;false;tce_rs;ROTATION
ROTATION-3;RS;ROTATION-ORGAO;rotation-class;item-1;52052033000153;10000;true;tce_rs;ROTATION
VARIANCE;SP;BAURU-F2;variance-class;item-1;53053011000191;10000;true;tce_sp;VARIANCE
VARIANCE;SP;BAURU-F2;variance-class;item-1;53053022000172;10100;false;tce_sp;VARIANCE
VARIANCE;SP;BAURU-F2;variance-class;item-1;53053033000153;10200;false;tce_sp;VARIANCE
VARIANCE;SP;BAURU-F2;variance-class;item-1;53053044000134;10300;false;tce_sp;VARIANCE
SKEW;SP;BAURU-F2;skew-class;item-1;54054011000191;4000;true;tce_sp;SKEW
SKEW;SP;BAURU-F2;skew-class;item-1;54054022000172;10000;false;tce_sp;SKEW
SKEW;SP;BAURU-F2;skew-class;item-1;54054033000153;10100;false;tce_sp;SKEW
SKEW;SP;BAURU-F2;skew-class;item-1;54054044000134;10200;false;tce_sp;SKEW
CLEAN;SP;BAURU-F2;clean-class;item-1;55055011000191;8000;true;tce_sp;CLEAN
CLEAN;SP;BAURU-F2;clean-class;item-1;55055022000172;16000;false;tce_sp;CLEAN
CLEAN;SP;BAURU-F2;clean-class;item-1;55055033000153;28000;false;tce_sp;CLEAN
CLEAN;SP;BAURU-F2;clean-class;item-1;55055044000134;45000;false;tce_sp;CLEAN
OTHER-UF;PR;CURITIBA-NO-SOURCE;other-class;item-1;56056011000191;9999;true;tce_pr;OTHER-UF
CPFONLY;SP;BAURU-F2;cpf-class;item-1;98765432100;1000;false;tce_sp;CPFONLY
