codigo;descricao;tipo;codigo_classe;codigo_grupo
123456;PAPEL SULFITE A4 75G;M;1234;12
654321;CANETA ESFEROGRAFICA AZUL;M;6543;65
463210;ARROZ BRANCO TIPO 1;M;4632;46
880111;TONER COMPATIVEL IMPRESSORA LASER;M;8801;88
880222;CARTUCHO TINTA IMPRESSORA;M;8802;88
880333;CILINDRO FOTCONDUTOR;M;8803;88
880444;REVELADOR TONER;M;8804;88
880555;KIT MANUTENCAO IMPRESSORA;M;8805;88
880666;PAPEL FOTOGRAFICO A4;M;8806;88
892011;ARROZ BRANCO TIPO 1 B5 CEREAL;M;8920;89
999911;ITEM CLASSE NAO MAPEADA B5;M;9999;99
