rank,id_compra,id_compra_item,ID_contratacao_PNCP,numero_item,label,evidence_url,notes
1,98621905984962024,9862190598496202400001,46137410000180-1-000877/2024,1,unit error,https://pncp.gov.br/app/editais/46137410000180/2024/877,"PNCP item 1 unidadeMedida=Tonelada, valorUnitarioHomologado=5180.00 for betume CAP 50/70. Peers on CATMAT 377922 are Embalagem 25 kg at 17.95 and Unidade at 16.75. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/877/itens/1"
2,98621905937732024,9862190593773202400007,46137410000180-1-001162/2024,7,data error,https://pncp.gov.br/app/editais/46137410000180/2024/1162,PNCP situacao=Homologado and valorUnitarioHomologado=55.00. CSV used valor_unitario_estimado=110.14 with empty resultado. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/1162/itens/7
3,98621905985142024,9862190598514202400039,46137410000180-1-000909/2024,39,unit error,https://pncp.gov.br/app/editais/46137410000180/2024/909,"PNCP item 39 unidadeMedida=Centena, homologado=101.90 for porca 5/8. Peer units on CATMAT 365557 are Unidade at 0.90 and 1.02. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/909/itens/39"
4,98621905936112024,9862190593611202400001,46137410000180-1-000809/2024,1,data error,https://pncp.gov.br/app/editais/46137410000180/2024/809,PNCP situacaoCompraItemNome=Fracassado; resultados HTTP 204. CSV 7.0983 Frasco-Ampola Omeprazol is the estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/809/itens/1
5,98621905933692024,9862190593369202400001,46137410000180-1-000489/2024,1,unit error,https://pncp.gov.br/app/editais/46137410000180/2024/489,"PNCP item 1 unidadeMedida=Grama, homologado=0.0474 for dieta infantil 0-6 meses. Peers on CATMAT 453662 are Quilograma at 68.50 and 68.70. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/489/itens/1"
6,98621905935132024,9862190593513202400011,46137410000180-1-000699/2024,11,real,https://pncp.gov.br/app/editais/46137410000180/2024/699,PNCP confirms homologado 153.27 / Unidade for pelicula 50x50 cm. Same CATMAT 484798 and Unidade as peers near 9.40 to 14.90. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/699/itens/11
7,98621903970072024,9862190397007202400001,46137410000180-1-000127/2024,1,spec difference,https://pncp.gov.br/app/editais/46137410000180/2024/127,PNCP confirms homologado 730000.00 UNIDADE for instalacao/manutencao eletrica. CATSER 21687 peers mix small lots near 800-4900 and a different electrical reform. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/127/itens/1
8,93009805930392024,9300980593039202400020,46139952000191-1-000095/2024,20,spec difference,https://pncp.gov.br/app/editais/46139952000191/2024/95,PNCP confirms homologado 112.49 / Unidade for adesivo 30 cm. CATMAT 472084 peers are other conforme-modelo sizes near 2.45 to 8.87. Source https://pncp.gov.br/api/pncp/v1/orgaos/46139952000191/compras/2024/95/itens/20
9,98621905984022024,9862190598402202400013,46137410000180-1-000887/2024,13,real,https://pncp.gov.br/app/editais/46137410000180/2024/887,PNCP confirms homologado 3000.00 / Unidade for foco clinico LED 20000 lux. Same CATMAT 482047 and Unidade as peers near 295-368. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/887/itens/13
10,98621905985142024,9862190598514202400096,46137410000180-1-000909/2024,96,real,https://pncp.gov.br/app/editais/46137410000180/2024/909,PNCP confirms homologado 12.23 / Unidade for disco abrasivo 4 1/2 grana 80. Same CATMAT 481666 and Unidade as peers near 4.10-4.21. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/909/itens/96
11,98621905934342024,9862190593434202400005,46137410000180-1-000570/2024,5,unit error,https://pncp.gov.br/app/editais/46137410000180/2024/570,"PNCP item 5 unidadeMedida=Pacote 100,00 UN, homologado=8.90 for tampa plastica 19 mm. Peers on CATMAT 460793 are Unidade at 0.84 and 0.95. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/570/itens/5"
12,93009805930472024,9300980593047202400001,46139952000191-1-000111/2024,1,spec difference,https://pncp.gov.br/app/editais/46139952000191/2024/111,PNCP confirms homologado 0.60 / M2 for desinsetizacao de baratas. CATSER 3417 peers mix descupinizacao and desratizacao at 0.01-0.05 / M2. Source https://pncp.gov.br/api/pncp/v1/orgaos/46139952000191/compras/2024/111/itens/1
13,98621905936112024,9862190593611202400013,46137410000180-1-000809/2024,13,data error,https://pncp.gov.br/app/editais/46137410000180/2024/809,PNCP situacao=Fracassado; resultados HTTP 204. CSV 6.70 Bisnaga 50 g Metronidazol is the estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/809/itens/13
14,98621905902152024,9862190590215202400028,46137410000180-1-000600/2024,28,unit error,https://pncp.gov.br/app/editais/46137410000180/2024/600,"PNCP item 28 unidadeMedida=Unidade, homologado=266.65 for TNT 40 g/m2. Peers on CATMAT 469173 are Rolo 50,00 M at 41.26 and 46.90. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/600/itens/28"
15,98621905904282024,9862190590428202400005,46137410000180-1-000721/2024,5,data error,https://pncp.gov.br/app/editais/46137410000180/2024/721,PNCP situacao=Fracassado; resultados HTTP 204. CSV 7.77 Embalagem 1 kg milho de pipoca is the estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/721/itens/5
16,98621905935552024,9862190593555202400001,46137410000180-1-000770/2024,1,real,https://pncp.gov.br/app/editais/46137410000180/2024/770,PNCP confirms homologado 435.00 / Unidade for otoscopio clinico portatil. Same CATMAT 610827 and Unidade as peers near 179.99-188.90. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/770/itens/1
17,98621907000122024,9862190700012202400001,46137410000180-1-000258/2024,1,spec difference,https://pncp.gov.br/app/editais/46137410000180/2024/258,PNCP confirms homologado 130000.00 UNIDADE for apresentacao artistica. CATSER 15830 peers are other show lots near 3000-14500. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/258/itens/1
18,98621905933852024,9862190593385202400007,46137410000180-1-000532/2024,7,real,https://pncp.gov.br/app/editais/46137410000180/2024/532,PNCP confirms homologado 186.00 / Unidade for cimento de ionomero de vidro fotopolimerizavel. Same CATMAT 444369 and Unidade as peers near 19.40-26.92. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/532/itens/7
19,98621905934422024,9862190593442202400010,46137410000180-1-000611/2024,10,real,https://pncp.gov.br/app/editais/46137410000180/2024/611,PNCP confirms homologado 0.2885 / Comprimido for hidralazina 25 mg. Same CATMAT 268111 dose class as peers near 0.36. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/611/itens/10
20,98621905905262024,9862190590526202400002,46137410000180-1-001018/2024,2,unit error,https://pncp.gov.br/app/editais/46137410000180/2024/1018,"PNCP item 2 unidadeMedida=Botijao 45,00 KG, homologado=323.28 for GLP. Peers on CATMAT 461652 are Botijao 13,00 KG near 79.15-101.67. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/1018/itens/2"
21,98621905983752024,9862190598375202400005,46137410000180-1-000701/2024,5,real,https://pncp.gov.br/app/editais/46137410000180/2024/701,PNCP confirms homologado 900.00 / Unidade for oximetro digital portatil. Same CATMAT 299875 and Unidade as peers near 44-90. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/701/itens/5
22,98621905933752024,9862190593375202400015,46137410000180-1-000790/2024,15,spec difference,https://pncp.gov.br/app/editais/46137410000180/2024/790,PNCP confirms homologado 35586.00 / UN for manutencao de aparelho oftalmologico. CATSER 13528 peers mix preventive and corrective jobs on different devices near 690-3740. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/790/itens/15
23,98621905932872024,9862190593287202400002,46137410000180-1-000519/2024,2,real,https://pncp.gov.br/app/editais/46137410000180/2024/519,PNCP confirms homologado 44750.00 / Unidade for uniforme profissional casaca/calca/quepe sob medida. Same CATMAT 616968 text and Unidade as peers. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/519/itens/2
24,98621905904352024,9862190590435202400001,46137410000180-1-000803/2024,1,real,https://pncp.gov.br/app/editais/46137410000180/2024/803,PNCP confirms homologado 7.80 / Unidade for lapis atoxico preto. Same CATMAT 386916 and Unidade as peers near 0.30-0.71. Source https://pncp.gov.br/api/pncp/v1/orgaos/46137410000180/compras/2024/803/itens/1
