id_compra_item,catalog_code,catalog_match,peer_key,unidade_medida,descricao,qty_band,quarter
9862190598496202400001,377922,catmat,catmat:377922,Tonelada  ,"BETUME, COMPOSIÇÃO CAP 50/70, TIPO CIMENTO ASFÁLTICO DE PETRÓLEO, APLICAÇÃOPAVIMENTAÇÃO",101-1000,2024Q4
9862190593773202400007,,none,desc:esfigmomanometro,Unidade  ,Esfigmomanômetro,2-10,2024Q4
9862190598514202400039,365557,catmat,catmat:365557,Centena,"PORCA, MATERIAL FERRO, TIPO SEXTAVADA, DIÂMETRO FURO 5/8 POL, TRATAMENTOSUPERFICIAL GALVANIZADO",11-100,2024Q4
9862190593611202400001,,none,desc:omeprazol,Frasco-Ampola,Omeprazol,1001+,2024Q4
9862190593369202400001,453662,catmat,catmat:453662,Grama,"Dieta Infantil Indicação: 0 A 6 Meses , Aspecto Físico: Pó , Uso: Enteral Ou Oral , Fonte De Proteína: Ptn Hidrolisada Soro Leite , Fonte De Carboidrato: Lactose , Fonte De Lipídios: Óleos Vegetais E Gordura Láctea , Componentes Adicionais: Vit.,Min.E Fibras , Características Adicionais: Isento Glúten , Adicionais:  C/ Lc Pufas,Prebióticos",1001+,2024Q3
9862190593513202400011,484798,catmat,catmat:484798,Unidade,"Película Protetora Tipo: P/ Eviscerações E Queimaduras , Composição: À Base De Polietileno , Dimensão: Cerca De 50 X 50 CM, Esterilidade: Estéril",11-100,2024Q4
9862190397007202400001,21687,catser,catser:21687,UNIDADE,Instalação/Manutenção/Operação - Elétrica,1,2024Q3
9300980593039202400020,472084,catmat,catmat:472084,Unidade  ,"Adesivo Colagem Tipo: Auto Adesivo , Aplicação: Comunicação Visual , Características Adicionais: Conforme Modelo , Tamanho: 30 CM, Material: Vinil",2-10,2024Q4
9862190598402202400013,482047,catmat,catmat:482047,Unidade ,"FOCO, TIPO CLÍNICO, PORTÁTIL, LÂMPADA/ VIDA ÚTIL LED MÍN 20.000 H,LUMINOSIDADE CERCA DE 20.000 LUX, ALTURA ALTURA AJUSTÁVEL, ESTRUTURA 1 HASTERÍGIDA E PARTE SUPERIOR FLEXÍVEL CROMADAS, RODIZIOS BASE METÁLICA, C/ PINTURAEPÓXI, C/ RODÍZIOS",2-10,2024Q4
9862190598514202400096,481666,catmat,catmat:481666,Unidade,"DISCO ABRASIVO, MATERIAL METAL, DIÂMETRO 4.1/2 POL, DIÂMETRO FURO 7/8 POL,ESPESSURA GRÃO GRANA 80",101-1000,2024Q4
9862190593434202400005,460793,catmat,catmat:460793,"Pacote 100,00 UN","Tampa Plástica Cor: Branca , Formato: Redondo , Aplicação: Embalagens Tipo Frasco E Similares , Diâmetro: 19 MM, Características Adicionais: Para Frasco Rosqueável E Lacre De Segurança , Material: Polipropileno",101-1000,2024Q3
9300980593047202400001,3417,catser,catser:3417,  M2,Desinsetização e monitoramento com foco em baratas do tipo Blatella germanicae Periplaneta americana. Composto químico: piretróide.,1001+,2024Q4
9862190593611202400013,,none,desc:metronidazol,"Bisnaga 50,00 G",Metronidazol,1001+,2024Q4
9862190590215202400028,469173,catmat,catmat:469173,Unidade  ,"Tnt Gramatura: 40 G/M2, Cor: Variada , Largura: 1,40",101-1000,2024Q4
9862190590428202400005,462122,catmat,catmat:462122,"Embalagem 1,00 KG","Milho De Pipoca Grupo: Duro , Classe: Amarela , Qualidade: Tipo 1 , Formato Estourado: Tipo Irregular/Butterfly",1001+,2024Q3
9862190593555202400001,610827,catmat,catmat:610827,Unidade,"Otoscópio Tipo: Clínico, Modelo: Portátil, Alimentação: Compatível C/ Transformador De Parede, Características Adicionais: Led, Zoom Óptico: Lente Giratória, Aumento Em Até 3 Vezes, Tipo Conector: Conexão Para Otoscopia Pneumática",11-100,2024Q4
9862190700012202400001,15830,catser,catser:15830,UNIDADE,Apresentação artística / musical / canto / coral Apresentação artística / musical / canto / coral,1,2024Q2
9862190593385202400007,444369,catmat,catmat:444369,Unidade,"Cimento De Ionômero De Vidro Tipo: Reforçado Por Metais, P/ Núcleos E Restaurações , Ativação: Fotopolimerizável , Aspecto Físico: Pó + Líquido , Apresentação: Cápsula",101-1000,2024Q3
9862190593442202400010,268111,catmat,catmat:268111,Comprimido,Hidralazina Dosagem: 25 M,1001+,2024Q3
9862190590526202400002,461652,catmat,catmat:461652,"Botijão 45,00 KG","GÁS REFINO DE PETRÓLEO, TIPO GÁS LIQUEFEITO DE PETRÓLEO- GLP, USO DOMÉSTICO",1001+,2024Q4
9862190598375202400005,299875,catmat,catmat:299875,Unidade ,"Oxímetro Digital Tipo: Portátil , Faixa Medição Oxigênio: 0 A 199 PER, Tolerância Máxima Erro Medição: 1% Para 0,1 Mg/L , Faixa Temperatura: -5 A 45 °C, Tipo Correção Pressão Atmosférica: Manual , Características Adicionais: Mostrador Lcd, Tempo Reação Máx. 10s, Memória Min.",2-10,2024Q4
9862190593375202400015,13528,catser,catser:13528,  UN,Manutenção de Aparelho Oftalmológico - manutenção corretiva de CAMERA DIGITAL RETINAL - RETINÓGRAFO  - VIDE EDITAL ANEXO I,2-10,2024Q4
9862190593287202400002,616968,catmat,catmat:616968,Unidade ,"Uniforme Profissional Componentes: Casaca, Calça, Quepe, Camisa, Dragona, Luva, Cinto , Tamanho: Sob Medida , Material: Tecido , Características Adicionais: Personalização Conforme Modelo Do Órgão , Aplicação: Uniforme , Tipo: Unissex",1,2024Q4
9862190590435202400001,386916,catmat,catmat:386916,Unidade  ,"Lápis Tipo: Atóxico, Cor: Preta, Material: Carvão Macio, Aplicação: Desenho Artístico",1001+,2024Q4
9862190593175202400001,,none,desc:locacao guarita / cabine sanitaria,UNIDADE,Locação Guarita / Cabine Sanitária,2-10,2024Q2
9862190590246202400017,,none,desc:livro didatico,Unidade  ,Livro Didático,101-1000,2024Q4
9862190693631202400001,268442,catmat,catmat:268442,Frasco-Ampola  ,"Suxametônio Cloreto Dosagem: 100MG, Indicação: Injetável",101-1000,2024Q4
9862190593403202400001,27456,catser,catser:27456,UNIDADE,Licenciamento de Direitos Permanentes  de  Uso  de  Softwarepara Estação de Trabalho,2-10,2024Q3
9862190390004202400002,5622,catser,catser:5622,UNIDADE,"Execução de Unidade Escolar de Educação Infantil, com a tecnologia Steel Framing, conforme Memorial Técnico Descritivo.",1,2024Q4
9862190590456202400004,451454,catmat,catmat:451454,Unidade,"Fogão Industrial Material: Aço Inoxidável , Funcionamento: Gás , Tipo Acendimento: Manual , Tipo Uso: Cozinhar E Assar Alimentos , Características Adicionais: 6 Queimadores Duplos, Forno, Chapa E Banho-Maria A , Quantidade Bocas: 6 U",2-10,2024Q4
9862190590264202400004,617131,catmat,catmat:617131,Quilograma,"Carne Processada Variedade: Pernil, Tipo: Suíno, Sabor: Temperado, Apresentação: Em Tiras, Tipo Preparação: Com Especiarias Naturais, Estado De Conservação: Congelado(A)",1001+,2024Q4
9862190593513202400003,436136,catmat,catmat:436136,Unidade,"Sonda Trato Urinário Modelo: Uretral , Material: Poliuretano , Calibre: 12 FRENCH, Conector: Conector Padrão , Comprimento: Cerca 20 CM, Tipo Ponta: Ponta Distal Cilíndrica Fechada , Componentes: C/ Orifícios Laterais , Adicionais: Lubrificada , Esterilidade: Estéril, Descartável , Embalagem: Embalagem Individual",1001+,2024Q4
9862190590215202400026,417237,catmat,catmat:417237,Unidade  ,"Papel Celofane Comprimento: 100 CM, Largura: 85 CM, Cor: Variada , Aplicação: Trabalhos Educativos , Gramatura: 18 G/M",1001+,2024Q4
9862190593206202400010,,none,desc:sensor para equipamento medico,Unidade ,Sensor Para Equipamento Médico,2-10,2024Q2
9300980593053202400037,17965,catser,catser:17965,  UN,Serviço de retirada e transporte de veículos,11-100,2024Q4
9300980693008202400006,19143,catser,catser:19143,  UN,Rodada interlaboratorial: água tratada microbiológica: Coliformes totais- e.coli/ presença/ausência. Bactérias heterotróficas- contagem,1,2024Q4
9300980593025202400077,484597,catmat,catmat:484597,Unidade ,"Grampo Para Cabo Material: Ferro Fundido Galvanizado , Tipo Uso: Cabo Aço , Bitola: 3/8 PO",11-100,2024Q3
9300980593025202400185,484597,catmat,catmat:484597,Unidade ,"Grampo Para Cabo Material: Ferro Fundido Galvanizado , Tipo Uso: Cabo Aço , Bitola: 3/8 PO",11-100,2024Q3
9862190593529202400001,4014,catser,catser:4014,  UN,Locação de veículos - leves / pesados,1,2024Q4
9862190598514202400115,602047,catmat,catmat:602047,Unidade,"CAVADEIRA ARTICULADA, MATERIAL AÇO SAE 1042., CABO MADEIRA, COMPRIMENTO DOCABO 150CM CM, COMPRIMENTO DAS GARRAS 28 CM",11-100,2024Q4
9862190590428202400002,478564,catmat,catmat:478564,Quilograma,"Biscoito Sabor: Salgado , Tipo: Bolacha , Ingredientes: Arroz Integral, Sal , Características Adicionais: Sem Recheio",1001+,2024Q4
9862190598514202400033,290095,catmat,catmat:290095,Unidade,"CADEADO, MATERIAL LATÃO MACIÇO",11-100,2024Q4
9862190593221202400002,,none,desc:ortese para coluna vertebral,Unidade,Órtese para coluna vertebral,11-100,2024Q2
9862190590099202400011,,none,desc:martelete,Unidade,Martelete,2-10,2024Q2
9862190593375202400008,13528,catser,catser:13528,  UN,Manutenção de Aparelho Oftalmológico - manutenção corretiva para APARELHO ÓPTICO AUTO REFRATOR CERATOMETRO - VIDE EDITAL ANEXO I,2-10,2024Q4
9862190598388202400001,461506,catmat,catmat:461506,Litro ,"Gasolina Uso: Para Automotivos , Classificação: Comum , Índice De Octanagem: Iad 87 Min",1001+,2024Q4
9862190397016202400001,1406,catser,catser:1406,UNIDADE,Obras Civis de Pavimentação Asfáltica,1,2024Q3
9862190598302202400002,3492,catser,catser:3492,UNIDADE,"MANUTENÇÃO PREVENTIVA E CORRETIVA DE AR CONDICIONADO TIPO K7 48.000 BTUS INCLUINDO HIGIENIZAÇÃO, LIMPEZA ANALISE E MANUTENÇÃO COM FORNECIMENTO DE PEÇAS. Marca/Modelo: Elgin / Tipo  K7 (Cassete)",11-100,2024Q3
9862190598514202400130,436485,catmat,catmat:436485,Unidade,"DESEMPENADEIRA MANUAL, MATERIAL TERMOPLÁSTICO, COMPRIMENTO 30 CM, LARGURA 18CM",11-100,2024Q4
9862190598388202400004,461548,catmat,catmat:461548,Litro ,"Óleo Diesel Uso: Automotivo , Apresentação: Com Biodiesel , Composição: Concentração De Enxofre 10 MG/K",1001+,2024Q4
9862190593351202400002,437119,catmat,catmat:437119,"Seringa 2,00 G","Resina Composta Tipo: Opacificadora, Fotopolimerizável , Tamanho Partículas: Microhíbrida , Aspecto Físico: Fluida",101-1000,2024Q4
9862190593369202400009,446019,catmat,catmat:446019,Grama,"Leite Em Pó Origem: De Vaca , Teor Gordura: Integral , Solubilidade: Instantâneo",1001+,2024Q3
9862190593513202400004,616017,catmat,catmat:616017,Unidade,"Fralda Descartável Tipo Fixação: Tiras Ajustáveis E Reposicionáveis , Tamanho: Adulto Médio , Material: Tela Polímerica E Núcleo Absorvente , Revestimento Externo: Impermeável , Característica Adicional: P/ Fluxo Intenso / Noturno, Barreira Antivazamento",1001+,2024Q4
9862190593580202400016,621033,catmat,catmat:621033,Unidade  ,"BORDADO PARA COSTURA, TIPO BORDADO INGLÊS, QUANTIDADE CORES 01 UN, COMPOSIÇÃOBÁSICA 100% ALGODÃO, COMPRIMENTO 137 CM, LARGURA 7 CM",11-100,2024Q4
9302890690051202400001,13943,catser,catser:13943,  UN,Corretagem - seguro,1,2024Q4
9862190593773202400004,,none,desc:esfigmomanometro,Unidade  ,Esfigmomanômetro,11-100,2024Q4
9862190700010202400001,,none,desc:apresentacao artistica / musical / canto / coral apresentacao artistica / musical / canto / coral,UNIDADE,Apresentação artística / musical / canto / coral Apresentação artística / musical / canto / coral,1,2024Q2
9862190693425202400002,447026,catmat,catmat:447026,Unidade ,"Cateter Material: Polímero , Esterilidade: Estéril, Descartável , Uso: Adulto , Referência: P/ Coleta De Aspirado Broncoalveolar , Componentes: Duplo - Externo E Interno C/ Trava , Componentes Adicionais: Ponta Distal C/ Tampão",101-1000,2024Q3
9862190593351202400004,446500,catmat,catmat:446500,"Seringa 4,00 G","Resina Composta Tipo: Fotopolimerizável, Gengival , Tamanho Partículas: Nanohíbrida , Aspecto Físico: Pastosa",101-1000,2024Q4
9862190593351202400006,446500,catmat,catmat:446500,"Seringa 4,00 G","Resina Composta Tipo: Fotopolimerizável, Gengival , Tamanho Partículas: Nanohíbrida , Aspecto Físico: Pastosa",101-1000,2024Q4
9862190590411202400001,467577,catmat,catmat:467577,"Bandeja 12,00 UN","Ovo Origem: Galinha , Grupo: Branco , Classe: A , Tipo: Jumbo",1001+,2024Q4
9862190593461202400007,485503,catmat,catmat:485503,Grama,Suplemento Nutricional Componentes: Cobre E Zinco,101-1000,2024Q3
9862190593720202400003,,none,desc:adocante,"Caixa 1000,00 UN",Adoçante,101-1000,2024Q4
9300980593039202400017,472084,catmat,catmat:472084,Unidade  ,"Adesivo Colagem Tipo: Auto Adesivo , Aplicação: Comunicação Visual , Características Adicionais: Conforme Modelo , Tamanho: 30 CM, Material: Vinil",2-10,2024Q4
9862190590510202400001,464559,catmat,catmat:464559,Quilograma,"Leguminosa Variedade: Feijão Branco, Tipo: Tipo 1",1001+,2024Q4
9862190593351202400005,446500,catmat,catmat:446500,"Seringa 4,00 G","Resina Composta Tipo: Fotopolimerizável, Gengival , Tamanho Partículas: Nanohíbrida , Aspecto Físico: Pastosa",101-1000,2024Q4
9862190590449202400004,464585,catmat,catmat:464585,Quilograma,"Leguminosa Processada Tipo: Feijão Carioca , Preparo: Cozida , Apresentação: À Vácuo , Adicional: Com Tempero",1001+,2024Q4
9862190590369202400002,617795,catmat,catmat:617795,Quilograma,"BISCOITO DOCE TIPO ROSQUINHA DE COCO: O PRODUTO DEVERÁ ESTAR DE ACORDO COM A NTA 02 E 48 (DECRETO 12.486/78), RESOLUÇÃO CD/FNDE N°06 DE 08/05/20 E RESOLUÇÃO Nº 604 DE 10/02/22.
INGREDIENTES MÍNIMOS: FARINHA DE TRIGO ENRIQUECIDA COM FERRO E ÁCIDO FÓLICO, GORDURA VEGETAL, AÇÚCAR, COCO RALADO OU EM FLOCOS E SAL. NÃO DEVERÁ CONTER LEITE OU SORO DE LEITE NA COMPOSIÇÃO, ENTRETANTO, PODERÁ CONTER TRAÇOS DE LEITE. SEM GORDURA TRANS, SEM GORDURA VEGETAL HIDROGENADA, SEM EDULCORANTES ARTIFICIAIS E SEM CORANTES ARTIFICIAIS. PODERÁ CONTER OUTROS INGREDIENTES DESDE QUE APROVADOS PELA LEGISLAÇÃO VIGENTE E QUE NÃO DESCARACTERIZEM O PRODUTO, OS QUAIS DEVERÃO SER DECLARADOS.
CARACTERÍSTICAS: TEXTURA MACIA E CROCANTE, COR, ODOR E SABOR PRÓPRIOS.
EMBALAGEM PRIMÁRIA: PACOTES DE POLIPROPILENO, RESISTENTE, ATÓXICO, LACRADO, CONTENDO DE 300 A 500 GRAMAS.
EMBALAGEM PARA ENTREGA: CAIXA DE PAPELÃO TIPO DUPLEX REFORÇADAS E RESISTENTES COM ABAS SUPERIORES E INFERIORES LACRADAS COM FITA ADESIVA, PESANDO ATÉ 10 KG.",1001+,2024Q3
9862190598446202400011,464393,catmat,catmat:464393,Quilograma,"Fruta Tipo: Laranja Pera , Apresentação: Natural",1001+,2024Q4
9300980593035202400009,324309,catmat,catmat:324309,Unidade  ,"Bomba Centrífuga Material: Ferro Fundido , Tipo Vedação Eixo: Selo Mecânico , Rotação: 3.500 RPM, Potência: 50 CV, Tensão: 220/380/440 V, Características Adicionais: Ip-55, Monoestágio, Acoplamento Monobloco A Motor",1,2024Q4
9862190593490202400001,616010,catmat,catmat:616010,Unidade,"Fralda Descartável Tipo Fixação: Tiras Ajustáveis E Reposicionáveis , Tamanho: Infantil Extra Grande Xxg , Material: Tela Polímerica E Núcleo Absorvente , Revestimento Externo: Impermeável , Característica Adicional: P/ Fluxo Intenso / Noturno, Barreira Antivazamento",1001+,2024Q3
9862190590279202400001,,none,desc:leguminosa,Quilograma,Leguminosa,1001+,2024Q2
9862190593381202400008,5428,catser,catser:5428,  UN,Serviço de manutenção corretiva de aparelhos de Ondas Curtas:  Deve seguir asmesmas especificações da Manutenção Preventiva.,11-100,2024Q4
9862190593513202400009,616016,catmat,catmat:616016,Unidade,"Fralda Descartável Tipo Fixação: Tiras Ajustáveis E Reposicionáveis , Tamanho: Adulto Pequeno , Material: Tela Polímerica E Núcleo Absorvente , Revestimento Externo: Impermeável , Característica Adicional: P/ Fluxo Intenso / Noturno, Barreira Antivazamento",1001+,2024Q4
9862190590513202400022,486374,catmat,catmat:486374,Unidade  ,"CANETA MARCA-TEXTO, MATERIAL PLÁSTICO, TIPO PONTA CHANFRADA, COR AMARELA,CARACTERÍSTICAS ADICIONAIS TRAÇO 4 MM",1001+,2024Q4
9862190598514202400015,389551,catmat,catmat:389551,Unidade,"PARAFUSO COM BUCHA E PORCA, MATERIAL LATÃO, REFERÊNCIA BUCHA Nº 8, TIPO PORCADE MAMA, APLICAÇÃO FIXAÇÃO DE LOUÇAS SANITÁRIAS, APRESENTAÇÃO KIT (01 PORCA 01PARAFUSO), CARACTERÍSTICAS ADICIONAIS REMOVÍVEL, ARRUELA PLÁSTICA",101-1000,2024Q4
9862190590381202400001,608435,catmat,catmat:608435,Unidade  ,"Peças E Acessórios Aparelho Ar Condicionado Tipo: Defletor , Material: Abs , Comprimento: 110 CM, Características Adicionais: Com Hastes E Superfície Perfurada , Aplicação: Ar-Condicionado",2-10,2024Q3
9862190593287202400001,616968,catmat,catmat:616968,Unidade ,"Uniforme Profissional Componentes: Casaca, Calça, Quepe, Camisa, Dragona, Luva, Cinto , Tamanho: Sob Medida , Material: Tecido , Características Adicionais: Personalização Conforme Modelo Do Órgão , Aplicação: Uniforme , Tipo: Unissex",1,2024Q4
9300980593035202400005,324309,catmat,catmat:324309,Unidade  ,"Bomba Centrífuga Material: Ferro Fundido , Tipo Vedação Eixo: Selo Mecânico , Rotação: 3.500 RPM, Potência: 50 CV, Tensão: 220/380/440 V, Características Adicionais: Ip-55, Monoestágio, Acoplamento Monobloco A Motor",2-10,2024Q4
9300980593039202400007,472084,catmat,catmat:472084,Unidade  ,"Adesivo Colagem Tipo: Auto Adesivo , Aplicação: Comunicação Visual , Características Adicionais: Conforme Modelo , Tamanho: 30 CM, Material: Vinil",11-100,2024Q4
9862190693450202400014,403990,catmat,catmat:403990,Comprimido  ,Roflumilaste Concentração: 500 MC,101-1000,2024Q3
9300980593053202400003,17965,catser,catser:17965,  UN,Tarifa de Selagem de tacógrafo,11-100,2024Q4
9862190590369202400003,240574,catmat,catmat:240574,Quilograma,"BISCOITO POLVILHO: O PRODUTO DEVERÁ ESTAR DE ACORDO COM A NTA 02 E 48 (DECRETO 12.486/78) E RDC N° 727, DE 1 DE JULHO DE 2022.
INGREDIENTES MÍNIMOS: POLVILHO, GORDURA VEGETAL E SAL. PODERÁ CONTER OUTROS INGREDIENTES DESDE QUE APROVADOS PELA LEGISLAÇÃO VIGENTE E QUE NÃO DESCARACTERIZEM O PRODUTO, OS QUAIS DEVERÃO SER DECLARADOS. SEM GORDURA TRANS E SEM GLÚTEN. NÃO DEVERÁ CONTER LEITE E DERIVADOS, LACTOSE E NENHUM RESÍDUO DE LEITE.
ASPECTO: COR, ODOR, SABOR E TEXTURA CARACTERÍSTICOS.
 EMBALAGEM PRIMÁRIA: PACOTE DE 50 A 150 GRAMAS.",1001+,2024Q4
9300980593056202400002,461506,catmat,catmat:461506,Litro,"GASOLINA, USO PARA AUTOMOTIVOS, CLASSIFICAÇÃO COMUM, ÍNDICE DE OCTANAGEM IAD87 MIN",1001+,2024Q4
9300980593037202400011,603425,catmat,catmat:603425,"Peça 1,00 M","Barra Metal Não Ferroso Material: Latão , Formato Seção: Cilindrica . , Diâmetro: 1 POL, Comprimento: 1",2-10,2024Q4
9862190593248202400004,2020,catser,catser:2020,UNIDADE,ESTIMATIVA DE DESINSTALAÇÕES DE AR CONDICIONADO PARA 12 MESES.,101-1000,2024Q4
9862190593448202400014,619249,catmat,catmat:619249,Grama,"Suplemento Nutricional Característica Nutricional: Hipocalórica, Hiperprotéica , Demais Componentes: Far. Trigo E Centeio Integ, Ext Soja E Far. Milho , Componentes: Ômegas 3 E 6 , Componentes Adicionais: Vitaminas, Minerais, Fibras E Aminoácidos , Outros Componentes: Contém Glúten , Apresentação: Pó Para Uso Oral",1001+,2024Q4
9300980593053202400004,17965,catser,catser:17965,  UN,Serviço limpeza sensor de velocidade - tacógrafo,2-10,2024Q4
9862190590435202400006,401623,catmat,catmat:401623,Unidade  ,"Pincel Material Cabo: Madeira Com Virola Em Alumínio, Cor: Vinho, Tipo Cerdas: Pelo Sintético Na Cor Dourada, Características Adicionais: Cabo Longo / Tamanho: Nº 00, Formato: Redondo",1001+,2024Q4
9862190593461202400020,485503,catmat,catmat:485503,Grama,Suplemento Nutricional Componentes: Cobre E Zinco,1001+,2024Q4
9862190593461202400018,485503,catmat,catmat:485503,Grama,Suplemento Nutricional Componentes: Cobre E Zinco,1001+,2024Q4
9862190593663202400003,,none,desc:testes psicologicos,Unidade  ,Testes Psicológicos,1,2024Q4
9862190593505202400002,,none,desc:caneta baixa rotacao,Unidade,Caneta baixa rotação,11-100,2024Q4
9862190590435202400005,401623,catmat,catmat:401623,Unidade  ,"Pincel Material Cabo: Madeira Com Virola Em Alumínio, Cor: Vinho, Tipo Cerdas: Pelo Sintético Na Cor Dourada, Características Adicionais: Cabo Longo / Tamanho: Nº 00, Formato: Redondo",1001+,2024Q4
9862190593461202400015,485503,catmat,catmat:485503,Grama,Suplemento Nutricional Componentes: Cobre E Zinco,1001+,2024Q3
9862190593422202400015,267769,catmat,catmat:267769,"Ampola 2,00 ML","Prometazina Cloridrato Dosagem: 25 MG/ML, Apresentação: Solução Injetável",1001+,2024Q4
9300980593053202400006,217876,catmat,catmat:217876,Unidade  ,"TACÓGRAFO, TIPO 7 D- RISTRADOR SEMANAL, ACIONAMENTO ELETRÔNICO, FUNCIONAMENTOSENSOR HALL E CHICOTE ELÉTRICO, CARACTERÍSTICAS ADICIONAIS RELÓGIO QUARTZO/CIRCUITO INTELIGENTE",1,2024Q4
9862190598341202400013,605953,catmat,catmat:605953,Unidade,"POSTE DE MADEIRA, TIPO CÔNICO, VARIEDADE EUCALÍPTO,, COMPRIMENTO 5 M, DIÂMETROMÍNIMO 12 CM, CARACTERÍSTICAS ADICIONAIS TRATADO EM AUTOCLAVE",101-1000,2024Q4
9862190598299202400004,482597,catmat,catmat:482597,Unidade ,"PERSIANA TIPO CORTINA, MATERIAL TECIDO PROTECAO SOLAR 3%, LARGURA 1,54 M,ALTURA 1,70 M, COR BEGE, CARACTERÍSTICAS ADICIONAIS CORREIA METALICA DE 1,20 M, TIPO ROLÔ",1,2024Q3
9862190593206202400009,,none,desc:peca equipamento medico,Unidade ,Peça Equipamento Médico,2-10,2024Q2
