id_compra,id_compra_item,ID_contratacao_PNCP,numero_item,descricao,unidade_medida,quantidade,valor_unitario_estimado,valor_unitario_resultado,valor_total,valor_total_resultado,evidence_url
98621905984962024,9862190598496202400001,46137410000180-1-000877/2024,1,"BETUME, COMPOSIÇÃO CAP 50/70, TIPO CIMENTO ASFÁLTICO DE PETRÓLEO, APLICAÇÃOPAVIMENTAÇÃO",Tonelada  ,1000.0,6066.83,5180.0,6066830.0,5180000.0,https://pncp.gov.br/app/editais/46137410000180/2024/877
98621905937732024,9862190593773202400007,46137410000180-1-001162/2024,7,Esfigmomanômetro,Unidade  ,5.0,110.14,,550.73,,https://pncp.gov.br/app/editais/46137410000180/2024/1162
98621905985142024,9862190598514202400039,46137410000180-1-000909/2024,39,"PORCA, MATERIAL FERRO, TIPO SEXTAVADA, DIÂMETRO FURO 5/8 POL, TRATAMENTOSUPERFICIAL GALVANIZADO",Centena,20.0,101.9,101.9,2038.0,2038.0,https://pncp.gov.br/app/editais/46137410000180/2024/909
98621905936112024,9862190593611202400001,46137410000180-1-000809/2024,1,Omeprazol,Frasco-Ampola,36000.0,7.0983,,255538.8,,https://pncp.gov.br/app/editais/46137410000180/2024/809
98621905933692024,9862190593369202400001,46137410000180-1-000489/2024,1,"Dieta Infantil Indicação: 0 A 6 Meses , Aspecto Físico: Pó , Uso: Enteral Ou Oral , Fonte De Proteína: Ptn Hidrolisada Soro Leite , Fonte De Carboidrato: Lactose , Fonte De Lipídios: Óleos Vegetais E Gordura Láctea , Componentes Adicionais: Vit.,Min.E Fibras , Características Adicionais: Isento Glúten , Adicionais:  C/ Lc Pufas,Prebióticos",Grama,4078400.0,0.0695,0.0474,283448.8,193316.16,https://pncp.gov.br/app/editais/46137410000180/2024/489
98621905935132024,9862190593513202400011,46137410000180-1-000699/2024,11,"Película Protetora Tipo: P/ Eviscerações E Queimaduras , Composição: À Base De Polietileno , Dimensão: Cerca De 50 X 50 CM, Esterilidade: Estéril",Unidade,20.0,158.3,153.27,3166.0,3065.4,https://pncp.gov.br/app/editais/46137410000180/2024/699
98621903970072024,9862190397007202400001,46137410000180-1-000127/2024,1,Instalação/Manutenção/Operação - Elétrica,UNIDADE,1.0,730348.94,730000.0,730348.94,730000.0,https://pncp.gov.br/app/editais/46137410000180/2024/127
93009805930392024,9300980593039202400020,46139952000191-1-000095/2024,20,"Adesivo Colagem Tipo: Auto Adesivo , Aplicação: Comunicação Visual , Características Adicionais: Conforme Modelo , Tamanho: 30 CM, Material: Vinil",Unidade  ,3.0,112.5,112.49,337.5,337.47,https://pncp.gov.br/app/editais/46139952000191/2024/95
98621905984022024,9862190598402202400013,46137410000180-1-000887/2024,13,"FOCO, TIPO CLÍNICO, PORTÁTIL, LÂMPADA/ VIDA ÚTIL LED MÍN 20.000 H,LUMINOSIDADE CERCA DE 20.000 LUX, ALTURA ALTURA AJUSTÁVEL, ESTRUTURA 1 HASTERÍGIDA E PARTE SUPERIOR FLEXÍVEL CROMADAS, RODIZIOS BASE METÁLICA, C/ PINTURAEPÓXI, C/ RODÍZIOS",Unidade ,5.0,3803.89,3000.0,19019.45,15000.0,https://pncp.gov.br/app/editais/46137410000180/2024/887
98621905985142024,9862190598514202400096,46137410000180-1-000909/2024,96,"DISCO ABRASIVO, MATERIAL METAL, DIÂMETRO 4.1/2 POL, DIÂMETRO FURO 7/8 POL,ESPESSURA GRÃO GRANA 80",Unidade,145.0,12.23,12.23,1773.35,1773.35,https://pncp.gov.br/app/editais/46137410000180/2024/909
98621905934342024,9862190593434202400005,46137410000180-1-000570/2024,5,"Tampa Plástica Cor: Branca , Formato: Redondo , Aplicação: Embalagens Tipo Frasco E Similares , Diâmetro: 19 MM, Características Adicionais: Para Frasco Rosqueável E Lacre De Segurança , Material: Polipropileno","Pacote 100,00 UN",300.0,9.2,8.9,2761.5,2670.0,https://pncp.gov.br/app/editais/46137410000180/2024/570
93009805930472024,9300980593047202400001,46139952000191-1-000111/2024,1,Desinsetização e monitoramento com foco em baratas do tipo Blatella germanicae Periplaneta americana. Composto químico: piretróide.,  M2,2240.0,1.77,0.6,3964.8,1344.0,https://pncp.gov.br/app/editais/46139952000191/2024/111
98621905936112024,9862190593611202400013,46137410000180-1-000809/2024,13,Metronidazol,"Bisnaga 50,00 G",13100.0,6.7,,87770.0,,https://pncp.gov.br/app/editais/46137410000180/2024/809
98621905902152024,9862190590215202400028,46137410000180-1-000600/2024,28,"Tnt Gramatura: 40 G/M2, Cor: Variada , Largura: 1,40",Unidade  ,118.0,340.0,266.65,40120.0,31464.7,https://pncp.gov.br/app/editais/46137410000180/2024/600
98621905904282024,9862190590428202400005,46137410000180-1-000721/2024,5,"Milho De Pipoca Grupo: Duro , Classe: Amarela , Qualidade: Tipo 1 , Formato Estourado: Tipo Irregular/Butterfly","Embalagem 1,00 KG",3144.0,7.77,,24428.88,,https://pncp.gov.br/app/editais/46137410000180/2024/721
98621905935552024,9862190593555202400001,46137410000180-1-000770/2024,1,"Otoscópio Tipo: Clínico, Modelo: Portátil, Alimentação: Compatível C/ Transformador De Parede, Características Adicionais: Led, Zoom Óptico: Lente Giratória, Aumento Em Até 3 Vezes, Tipo Conector: Conexão Para Otoscopia Pneumática",Unidade,28.0,741.5586,435.0,20763.64,12180.0,https://pncp.gov.br/app/editais/46137410000180/2024/770
98621907000122024,9862190700012202400001,46137410000180-1-000258/2024,1,Apresentação artística / musical / canto / coral Apresentação artística / musical / canto / coral,UNIDADE,1.0,130000.0,130000.0,130000.0,130000.0,https://pncp.gov.br/app/editais/46137410000180/2024/258
98621905933852024,9862190593385202400007,46137410000180-1-000532/2024,7,"Cimento De Ionômero De Vidro Tipo: Reforçado Por Metais, P/ Núcleos E Restaurações , Ativação: Fotopolimerizável , Aspecto Físico: Pó + Líquido , Apresentação: Cápsula",Unidade,210.0,472.36,186.0,99195.6,39060.0,https://pncp.gov.br/app/editais/46137410000180/2024/532
98621905934422024,9862190593442202400010,46137410000180-1-000611/2024,10,Hidralazina Dosagem: 25 M,Comprimido,1200.0,0.49,0.2885,588.0,346.2,https://pncp.gov.br/app/editais/46137410000180/2024/611
98621905905262024,9862190590526202400002,46137410000180-1-001018/2024,2,"GÁS REFINO DE PETRÓLEO, TIPO GÁS LIQUEFEITO DE PETRÓLEO- GLP, USO DOMÉSTICO","Botijão 45,00 KG",4000.0,389.32,323.28,1557280.0,1293120.0,https://pncp.gov.br/app/editais/46137410000180/2024/1018
98621905983752024,9862190598375202400005,46137410000180-1-000701/2024,5,"Oxímetro Digital Tipo: Portátil , Faixa Medição Oxigênio: 0 A 199 PER, Tolerância Máxima Erro Medição: 1% Para 0,1 Mg/L , Faixa Temperatura: -5 A 45 °C, Tipo Correção Pressão Atmosférica: Manual , Características Adicionais: Mostrador Lcd, Tempo Reação Máx. 10s, Memória Min.",Unidade ,3.0,1699.5,900.0,5098.5,2700.0,https://pncp.gov.br/app/editais/46137410000180/2024/701
98621905933752024,9862190593375202400015,46137410000180-1-000790/2024,15,Manutenção de Aparelho Oftalmológico - manutenção corretiva de CAMERA DIGITAL RETINAL - RETINÓGRAFO  - VIDE EDITAL ANEXO I,  UN,4.0,40000.0,35586.0,160000.0,142344.0,https://pncp.gov.br/app/editais/46137410000180/2024/790
