rank,id_compra,id_compra_item,score,score_kind,median,mad,peer_n,peer_key,catalog_code,catalog_match
1,98621905984962024,9862190598496202400001,4301.708333333333333333333333,mad_units,17.95,1.20,3,catmat:377922,377922,catmat
2,98621905937732024,9862190593773202400007,1596.2,mad_units,189.95,0.05,3,desc:esfigmomanometro,,none
3,98621905935132024,9862190593513202400011,286.74,mad_units,9.9,0.5,5,catmat:484798,484798,catmat
4,93009805930392024,9300980593039202400020,121.0222222222222222222222222,mad_units,3.57,0.90,7,catmat:472084,472084,catmat
5,98621905984022024,9862190598402202400013,73.02739726027397260273972603,mad_units,334.5,36.5,4,catmat:482047,482047,catmat
6,98621905985142024,9862190598514202400096,72.90909090909090909090909091,mad_units,4.21,0.11,3,catmat:481666,481666,catmat
7,98621905934342024,9862190593434202400005,72.27272727272727272727272727,mad_units,0.95,0.11,3,catmat:460793,460793,catmat
8,98621905902152024,9862190590215202400028,38.96276595744680851063829787,mad_units,46.9,5.64,3,catmat:469173,469173,catmat
9,98621905904282024,9862190590428202400005,31.17241379310344827586206897,mad_units,3.25,0.145,4,catmat:462122,462122,catmat
10,98621905935552024,9862190593555202400001,27.62065095398428731762065095,mad_units,188.9,8.91,3,catmat:610827,610827,catmat
11,98621905933852024,9862190593385202400007,21.15425531914893617021276596,mad_units,26.92,7.52,3,catmat:444369,444369,catmat
12,98621905932212024,9862190593221202400002,20.01285046728971962616822430,mad_units,19.345,4.280,4,desc:ortese para coluna vertebral,,none
13,98621905934422024,9862190593442202400010,19.81578947368421052631578947,mad_units,0.3638,0.0038,4,catmat:268111,268111,catmat
14,98621905905262024,9862190590526202400002,19.68428063943161634103019538,mad_units,101.635,11.260,4,catmat:461652,461652,catmat
15,98621905983752024,9862190598375202400005,17.60869565217391304347826087,mad_units,90.0,46.0,3,catmat:299875,299875,catmat
16,98621905933752024,9862190593375202400015,17.37188328912466843501326260,mad_units,2840.0,1885.0,14,catser:13528,13528,catser
17,98621905904352024,9862190590435202400001,17.29268292682926829268292683,mad_units,0.71,0.41,3,catmat:386916,386916,catmat
18,98621905932232024,9862190593223202400014,14.59065888240200166805671393,mad_units,59.3225,14.9875,3,knn:69710,69710,knn
19,98621905902462024,9862190590246202400017,14.07006369426751592356687898,mad_units,269.0,3.14,10,desc:livro didatico,,none
20,98621906936312024,9862190693631202400001,14,mad_units,24.69,0.05,3,catmat:268442,268442,catmat
21,98621905934032024,9862190593403202400001,13.39032727272727272727272727,mad_units,1050.83,137.50,4,catser:27456,27456,catser
22,98621905904562024,9862190590456202400004,13.20041811549373893380549097,mad_units,8617.96,468.77,4,catmat:451454,451454,catmat
23,98621905902642024,9862190590264202400004,13.00711743772241992882562278,mad_units,37.595,1.405,4,catmat:617131,617131,catmat
24,98621905935132024,9862190593513202400003,12.94117647058823529411764706,mad_units,10.0,0.51,5,catmat:436136,436136,catmat
25,98621905902152024,9862190590215202400026,12.11009174311926605504587156,price_over_median,1.09,0,3,catmat:417237,417237,catmat
26,98621905932062024,9862190593206202400010,12.04878048780487804878048780,mad_units,319.5,10.25,3,desc:sensor para equipamento medico,,none
27,93009805930532024,9300980593053202400037,11.81262023855328972681800693,mad_units,192.99,25.99,5,catser:17965,17965,catser
28,93009805930252024,9300980593025202400077,10.5,mad_units,14.0,1.0,6,catmat:484597,484597,catmat
29,93009805930252024,9300980593025202400185,10.5,mad_units,14.0,1.0,6,catmat:484597,484597,catmat
30,98621905985142024,9862190598514202400115,10.00413223140495867768595041,mad_units,38.475,6.050,4,catmat:602047,602047,catmat
31,98621905934612024,9862190593461202400020,9.955752212389380530973451327,mad_units,0.114,0.0452,13,catmat:485503,485503,catmat
32,98621905934612024,9862190593461202400018,9.867256637168141592920353982,mad_units,0.114,0.0452,13,catmat:485503,485503,catmat
33,98621905904282024,9862190590428202400002,9.743589743589743589743589744,price_over_median,3.9,0,3,catmat:478564,478564,catmat
34,98621905985142024,9862190598514202400033,9.25,mad_units,19.0,4.0,7,catmat:290095,290095,catmat
35,98621905900992024,9862190590099202400011,8.635212715284915640903507233,mad_units,1376.25,199.445,4,knn:111759,111759,knn
36,98621905933752024,9862190593375202400008,8.567108753315649867374005305,mad_units,2840.0,1885.0,14,catser:13528,13528,catser
37,98621905983882024,9862190598388202400001,7.991170825335892514395393474,mad_units,5.85475,0.13025,10,catmat:461506,461506,catmat
38,98621905983022024,9862190598302202400002,7.333333333333333333333333333,mad_units,36.0,6.0,9,catser:3492,3492,catser
39,98621905985142024,9862190598514202400130,7.25,mad_units,8.695,0.220,6,catmat:436485,436485,catmat
40,98621905983882024,9862190598388202400004,7.214922048997772828507795100,mad_units,5.8202,0.0898,5,catmat:461548,461548,catmat
41,98621905933512024,9862190593351202400002,7.191532550384225025373350732,mad_units,40.28,2.7588,3,catmat:437119,437119,catmat
42,98621905904352024,9862190590435202400025,7.107142857142857142857142857,mad_units,4.03,0.84,6,catmat:607301,607301,catmat
43,98621905935132024,9862190593513202400004,6.586206896551724137931034483,mad_units,1.56,0.29,4,catmat:616017,616017,catmat
44,98621905937732024,9862190593773202400004,6.35,mad_units,180.0,9.0,3,desc:esfigmomanometro,,none
45,98621906934252024,9862190693425202400002,6.166666666666666666666666667,mad_units,2.11,0.06,3,catmat:447026,447026,catmat
46,98621905904112024,9862190590411202400001,6,mad_units,5.6,0.3,3,catmat:467577,467577,catmat
47,98621905934612024,9862190593461202400007,5.950108459869848156182212581,mad_units,56.6,9.22,27,catmat:485503,485503,catmat
48,93009805930392024,9300980593039202400017,5.888888888888888888888888889,mad_units,3.57,0.90,7,catmat:472084,472084,catmat
49,98621905905102024,9862190590510202400001,5.8,mad_units,13.5,0.6,3,catmat:464559,464559,catmat
50,98621905904492024,9862190590449202400004,5.492537313432835820895522388,mad_units,5.17,0.67,3,catmat:464585,464585,catmat
51,98621905903692024,9862190590369202400002,5.475884244372990353697749196,mad_units,3.575,1.555,4,catmat:617795,617795,catmat
52,98621905984462024,9862190598446202400011,5.057142857142857142857142857,mad_units,3.975,0.175,4,catmat:464393,464393,catmat
53,98621905934902024,9862190593490202400001,4.983333333333333333333333333,mad_units,0.89,0.30,3,catmat:616010,616010,catmat
54,98621905902792024,9862190590279202400001,4.829090909090909090909090909,mad_units,10.02,1.375,4,desc:leguminosa,,none
55,98621905933812024,9862190593381202400008,4.666666666666666666666666667,mad_units,300.0,150.0,7,catser:5428,5428,catser
56,98621905935132024,9862190593513202400009,4.658536585365853658536585366,mad_units,1.215,0.205,4,catmat:616016,616016,catmat
57,98621905905132024,9862190590513202400022,4.6,mad_units,0.45,0.05,3,catmat:486374,486374,catmat
58,98621905985142024,9862190598514202400015,4.571428571428571428571428571,mad_units,0.42,0.105,4,catmat:389551,389551,catmat
59,98621905903812024,9862190590381202400001,4.539559014267185473411154345,mad_units,200.0,77.1,3,catmat:608435,608435,catmat
