id_compra,id_compra_item,numero_item,descricao_detalhada,descricao,material_ou_servico,valor_unitario_estimado,valor_total,quantidade,unidade_medida,situacao_compra_item_nome,tem_resultado,cod_item_catalogo,ID_contratacao_PNCP,cod_fornecedor,nome_fornecedor,data_resultado,data_inclusao,valor_total_resultado,valor_unitario_resultado,quantidade_resultado,orgao_entidade_cnpj,ano_compra,sequencial_compra
B-2024-1,B-2024-1-01,1,CADEIRA ESCRITORIO PADRAO,CADEIRA ESCRITORIO,M,100.00,100.00,1,Unidade,Homologado,True,206504,35060030000100-1-000001/2024,11222333000181,FORN A,2024-04-15,2024-04-10,100.00,100.00,1,35060030000100,2024,1
B-2024-1,B-2024-1-02,2,CADEIRA ESCRITORIO PADRAO,CADEIRA ESCRITORIO,M,105.00,105.00,1,Unidade,Homologado,True,206504,35060030000100-1-000001/2024,11222333000181,FORN A,2024-04-15,2024-04-10,105.00,105.00,1,35060030000100,2024,1
B-2024-1,B-2024-1-03,3,CADEIRA ESCRITORIO PADRAO,CADEIRA ESCRITORIO,M,110.00,110.00,1,Unidade,Homologado,True,206504,35060030000100-1-000001/2024,11222333000181,FORN A,2024-04-15,2024-04-10,110.00,110.00,1,35060030000100,2024,1
B-2024-1,B-2024-1-04,4,PAPEL A4 RESMA 500,PAPEL A4,M,10.00,80.00,8,Resma,Homologado,True,999001,35060030000100-1-000001/2024,11222333000181,FORN A,2024-07-15,2024-07-10,80.00,10.00,8,35060030000100,2024,1
B-2024-1,B-2024-1-05,5,PAPEL A4 RESMA 500,PAPEL A4,M,11.00,88.00,8,Resma,Homologado,True,999001,35060030000100-1-000001/2024,11222333000181,FORN A,2024-07-15,2024-07-10,88.00,11.00,8,35060030000100,2024,1
B-2024-2,B-2024-2-01,1,CADEIRA ESCRITORIO PADRAO,CADEIRA ESCRITORIO,M,8000.00,8000.00,1,Unidade,Homologado,True,206504,35060030000100-1-000002/2024,44555666000172,FORN B,2024-04-16,2024-04-11,8000.00,8000.00,1,35060030000100,2024,2
B-2024-2,B-2024-2-02,2,PAPEL A4 RESMA 500,PAPEL A4,M,500.00,3000.00,6,Resma,Homologado,True,999001,35060030000100-1-000002/2024,44555666000172,FORN B,2024-07-16,2024-07-11,3000.00,500.00,6,35060030000100,2024,2
B-2024-2,B-2024-2-03,3,CADEIRA ESCRITORIO MATERIAL TUBO ACO,CADEIRA ESCRITORIO TUBO,M,9000.00,9000.00,1,Unidade,Homologado,True,,35060030000100-1-000002/2024,44555666000172,FORN B,2024-04-16,2024-04-11,9000.00,9000.00,1,35060030000100,2024,2
B-2024-2,B-2024-2-04,4,PAPEL A4 RESMA 500,PAPEL A4,M,10.00,999.00,2,Resma,Homologado,True,999001,35060030000100-1-000002/2024,44555666000172,FORN B,2024-07-16,2024-07-11,999.00,10.00,2,35060030000100,2024,2
B-2024-2,B-2024-2-05,5,ITEM COLLAPSE,ITEM COLLAPSE,M,50.00,50.00,1,Unidade,Homologado,True,888888,35060030000100-1-000002/2024,44555666000172,FORN B,2024-04-16,2024-04-11,50.00,50.00,1,35060030000100,2024,2
B-2024-2,B-2024-2-06,6,ITEM ZERO,ITEM ZERO,M,0.00,0.00,1,Unidade,Homologado,True,888888,35060030000100-1-000002/2024,44555666000172,FORN B,2024-04-16,2024-04-11,0.00,0.00,1,35060030000100,2024,2
B-2024-2,B-2024-2-07,7,CADEIRA ESCRITORIO PADRAO,CADEIRA ESCRITORIO,M,10000.00,10000.00,1,Unidade,Homologado,True,206504,35060030000100-1-000002/2024,44555666000172,FORN B,2024-04-16,2024-04-11,10000.00,10000.00,1,35060030000100,2024,2
P-2024-1,P-2024-1-01,1,CADEIRA ESCRITORIO PADRAO,CADEIRA ESCRITORIO,M,102.00,102.00,1,Unidade,Homologado,True,206504,35541020000100-1-000001/2024,99888777000166,FORN C,2024-04-17,2024-04-12,102.00,102.00,1,35541020000100,2024,1
P-2024-1,P-2024-1-02,2,PAPEL A4 RESMA 500,PAPEL A4,M,10.50,52.50,5,Resma,Homologado,True,999001,35541020000100-1-000001/2024,99888777000166,FORN C,2024-07-17,2024-07-12,52.50,10.50,5,35541020000100,2024,1
L-2024-1,L-2024-1-01,1,ITEM CAMARA,ITEM CAMARA,M,1.00,1.00,1,Unidade,Homologado,True,206504,35060030000200-1-000001/2024,11222333000181,FORN A,2024-04-18,2024-04-13,1.00,1.00,1,35060030000200,2024,1
