rank,id_compra,id_compra_item,ID_contratacao_PNCP,numero_item,label,evidence_url,notes
1,92776105900292024,9277610590029202400001,29063294000182-1-000009/2024,1,unit error,https://pncp.gov.br/app/editais/29063294000182/2024/9,PNCP item 1 says unidadeMedida=Comprimido and valorUnitarioHomologado=365.00 for Piridostigmina 60mg. Market-typical box price recorded as per-tablet. Quote: unidadeMedida Comprimido; homologado 365.00 x 800. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/9/itens/1
2,45006807000612024,4500680700061202400001,32512501000143-1-000121/2024,1,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/121,PNCP confirms 7240.73 per Unidade for cartucho de dispositivo eletrico incapacitante. Peers on CATMAT 610825 are generic non-lethal projectiles. Quote: tipo cartucho para dipositivo eletrico incapacitante. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/121/itens/1
3,92776105901012024,9277610590101202400014,29063294000182-1-000181/2024,14,unit error,https://pncp.gov.br/app/editais/29063294000182/2024/181,"PNCP item 14 unidadeMedida=Frasco 20,00 ML, homologado 16.15. Peer median 0.06 is tablet-scale for the same CATMAT 269962. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/181/itens/14"
4,92668707000082024,9266870700008202400006,32504706000187-1-000011/2024,6,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/11,PNCP confirms 7929.00 per Unidade for a 75mm polycarbonate rotameter. Peer key is free-text Medidor Vazao; peers are cheaper generic meters. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/11/itens/6
5,92776105901012024,9277610590101202400013,29063294000182-1-000181/2024,13,unit error,https://pncp.gov.br/app/editais/29063294000182/2024/181,"PNCP item 13 unidadeMedida=Frasco 20,00 ML, homologado 10.06. Same CATMAT 269962 tablet-scale peers as rank 3. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/181/itens/13"
6,92776105901012024,9277610590101202400010,29063294000182-1-000181/2024,10,data error,https://pncp.gov.br/app/editais/29063294000182/2024/181,"PNCP situacaoCompraItemNome=Fracassado; no resultado. CSV 1.01 is the estimate only. Ampola 3,00 ML Acetilcisteina was not awarded. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/181/itens/10"
7,45006805900452024,4500680590045202400017,32512501000143-1-000050/2024,17,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/50,"PNCP describes concentrated quaternary-ammonium disinfectant, Litro. First award 23.30 was cancelled; current homologado 26.36. Peer median 0.09 is a different product class on CATMAT 420084. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/50/itens/17"
8,92685005901352024,9268500590135202400062,39563911000162-1-000165/2024,62,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 2.71 Ampola 2,50 ML Dexametasona is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/62"
9,45006807001132024,4500680700113202400020,32512501000143-1-000248/2024,20,real,https://pncp.gov.br/app/editais/32512501000143/2024/248,"PNCP confirms homologado 7.18 / kg for chuchu verde, qty 11750. Same UoM as peers (median 2.48). Source matches CSV. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/248/itens/20"
10,45006806990122024,4500680699012202400008,32512501000143-1-000181/2024,8,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/181,"PNCP confirms 259.00 for a generic textile/leather/rubber fabrication service. Peer key is a broad CATSER bucket, not a comparable job. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/181/itens/8"
11,92776105901042024,9277610590104202400016,29063294000182-1-000184/2024,16,real,https://pncp.gov.br/app/editais/29063294000182/2024/184,"PNCP item 16 unidadeMedida=Ampola 1,00 ML, homologado 21.60 for Epinefrina 1mg/ml injetavel. 11 peers on CATMAT 268255 have median 1.23. Source matches CSV. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/184/itens/16"
12,92776106901632024,9277610690163202400004,29063294000182-1-000188/2024,4,data error,https://pncp.gov.br/app/editais/29063294000182/2024/188,PNCP situacao=Deserto; no resultado. CSV 369.38 Circuito Respiratorio is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/188/itens/4
13,92776105900942024,9277610590094202400011,29063294000182-1-000160/2024,11,spec difference,https://pncp.gov.br/app/editais/29063294000182/2024/160,PNCP confirms 24.30 for a 25G x 4 3/4 Quincke spinal needle. Peers on CATMAT 389231 are cheaper generic anesthetic needles. Source https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/160/itens/11
14,45006805900772024,4500680590077202400074,32512501000143-1-000141/2024,74,unit error,https://pncp.gov.br/app/editais/32512501000143/2024/141,"PNCP unidadeMedida=Caixa 25,00 PCT, homologado 86.99 for Copo Descartavel. Peer median 3.74 is not a 25-pack box. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/141/itens/74"
15,92668705900812024,9266870590081202400042,32504706000187-1-000168/2024,42,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/168,PNCP confirms 9750.00 for Disjuntor media tensao. 40 peers on CATMAT 616962 have median 97 (low-voltage class mixed into the same code). Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/168/itens/42
16,92685005901352024,9268500590135202400137,39563911000162-1-000165/2024,137,data error,https://pncp.gov.br/app/editais/39563911000162/2024/165,"PNCP situacao=Anulado/Revogado/Cancelado; no resultado. CSV 3.01 Ampola 5,00 ML Sulfametoxazol is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/165/itens/137"
17,45006805900772024,4500680590077202400075,32512501000143-1-000141/2024,75,unit error,https://pncp.gov.br/app/editais/32512501000143/2024/141,"PNCP unidadeMedida=Caixa 25,00 PCT, homologado 73.85. Same pack-vs-unit issue as rank 14 on CATMAT 618310. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/141/itens/75"
18,45006805900442024,4500680590044202400019,32512501000143-1-000071/2024,19,spec difference,https://pncp.gov.br/app/editais/32512501000143/2024/71,"PNCP confirms 162.35 for a hydraulic automotive-column desempenadeira, not a plaster trowel. Peers on CATMAT 265602 are cheap finishing tools. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/71/itens/19"
19,92685005901322024,9268500590132202400010,39563911000162-1-000160/2024,10,data error,https://pncp.gov.br/app/editais/39563911000162/2024/160,"PNCP situacao=Deserto; no resultado. CSV 106.73 Frasco 2,50 ML Travoprosta is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/160/itens/10"
20,45006805900462024,4500680590046202400103,32512501000143-1-000042/2024,103,unit error,https://pncp.gov.br/app/editais/32512501000143/2024/42,"PNCP unidadeMedida=Centena, homologado 23.05 for Envelope. Peer median 0.56 is per-envelope scale. Source https://pncp.gov.br/api/pncp/v1/orgaos/32512501000143/compras/2024/42/itens/103"
21,92668705900812024,9266870590081202400043,32504706000187-1-000168/2024,43,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/168,PNCP confirms 6278.00 for Disjuntor media tensao. Same CATMAT 616962 mix as rank 15. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/168/itens/43
22,92668705900642024,9266870590064202400017,32504706000187-1-000140/2024,17,spec difference,https://pncp.gov.br/app/editais/32504706000187/2024/140,PNCP confirms 3193.00 for Solucao Padrao (lab standard). Peer median 109.82 is a different reagent grade on the same description key. Source https://pncp.gov.br/api/pncp/v1/orgaos/32504706000187/compras/2024/140/itens/17
23,92685005901302024,9268500590130202400007,39563911000162-1-000161/2024,7,data error,https://pncp.gov.br/app/editais/39563911000162/2024/161,PNCP situacao=Fracassado; no resultado. CSV 2.43 Comprimido Alprazolam is estimate only. Source https://pncp.gov.br/api/pncp/v1/orgaos/39563911000162/compras/2024/161/itens/7
