rank,id_compra,id_compra_item,numero_controle_PNCP,ID_contratacao_PNCP,orgao_cnpj,orgao_razao_social,unidade_orgao,municipio,uf,ibge,modalidade,fornecedor_cnpj,fornecedor_nome,item_desc,item_desc_detalhada,material_ou_servico,cod_item_catalogo,catalog_code,catalog_match,qty,unidade_medida,unit_price,total,qty_band,quarter,peer_n,median,mad,score,score_kind,data_error,data_error_qty_x_price_over_total,source_item_url,source_compra_url,pncp_id,pncp_consulta
1,92776105900292024,9277610590029202400001,29063294000182-1-000009/2024,29063294000182-1-000009/2024,29063294000182,SERVICO AUTONOMO HOSPITALAR,SERVIÇO AUTONOMO HOSPITALAR DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,04380569000180,J R G DISTRIBUIDORA DE MEDICAMENTOS HOSPITALARES LTDA,Piridostigmina brometo,Piridostigmina Brometo Dosagem: 60 M,Material,271764,271764,catmat,800.000000,Comprimido,365.000000,292000.000000,101-1000,2024Q4,3,0.520000,0.270000,1349.925926,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,29063294000182-1-000009/2024,https://pncp.gov.br/app/editais/29063294000182-1-000009/2024
2,45006807000612024,4500680700061202400001,32512501000143-1-000121/2024,32512501000143-1-000121/2024,32512501000143,MUNICIPIO DE VOLTA REDONDA,PREFEITURA MUNICIPAL DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Inexigibilidade,30092431000196,CONDOR S/A INDUSTRIA QUIMICA,"Projétil Não Letal alcance: 8, material: polimero de alta resistência, peso: 52,6, tipo: cartucho para dipositivo elétrico incapacitante","Projétil Não Letal alcance: 8, material: polimero de alta resistência, peso: 52,6, tipo: cartucho para dipositivo elétrico incapacitante",Material,610825,610825,catmat,20.000000,Unidade,7240.730000,144814.600000,11-100,2024Q3,3,284.960000,6.480000,1073.421296,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32512501000143-1-000121/2024,https://pncp.gov.br/app/editais/32512501000143-1-000121/2024
3,92776105901012024,9277610590101202400014,29063294000182-1-000181/2024,29063294000182-1-000181/2024,29063294000182,SERVICO AUTONOMO HOSPITALAR,SERVIÇO AUTONOMO HOSPITALAR DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,47454600000193,GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA,Domperidona,Domperidona Dosagem: 10MG,Material,269962,269962,catmat,1250.000000,"Frasco 20,00 ML",16.150000,20187.500000,1001+,2024Q4,7,0.060000,0.020000,804.500000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,29063294000182-1-000181/2024,https://pncp.gov.br/app/editais/29063294000182-1-000181/2024
4,92668707000082024,9266870700008202400006,32504706000187-1-000011/2024,32504706000187-1-000011/2024,32504706000187,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,SERVICO AUTON DE AGUA E ESG DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Inexigibilidade,60659166000146,CONAUT CONTROLES AUTOMATICOS LTDA,"Medidor Vazão aplicação: medidor vazão líquidos, características adicionais: terminais de polipropileno, comprimento: 330, diâmetro: 75, material corpo: policarbonato, pressão máxima operação: 10, temperatura operação: 80, tipo: rotâmetro",,Material,,,none,2.000000,Unidade,7929.000000,15858.000000,2-10,2024Q2,3,400.000000,10.000000,752.900000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32504706000187-1-000011/2024,https://pncp.gov.br/app/editais/32504706000187-1-000011/2024
5,92776105901012024,9277610590101202400013,29063294000182-1-000181/2024,29063294000182-1-000181/2024,29063294000182,SERVICO AUTONOMO HOSPITALAR,SERVIÇO AUTONOMO HOSPITALAR DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,18269125000187,BIOHOSP PRODUTOS HOSPITALARES SA,Domperidona,Domperidona Dosagem: 10MG,Material,269962,269962,catmat,3750.000000,"Frasco 20,00 ML",10.060000,37725.000000,1001+,2024Q4,7,0.060000,0.020000,500.000000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,29063294000182-1-000181/2024,https://pncp.gov.br/app/editais/29063294000182-1-000181/2024
6,92776105901012024,9277610590101202400010,29063294000182-1-000181/2024,29063294000182-1-000181/2024,29063294000182,SERVICO AUTONOMO HOSPITALAR,SERVIÇO AUTONOMO HOSPITALAR DE VOLTA REDONDA,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,,,Acetilcisteína,"Acetilcisteína Concentraçao: 40MG/ML, Forma Farmaceutica: Xarope",Material,355786,355786,catmat,10000.000000,"Ampola 3,00 ML",1.010000,10100.000000,1001+,2024Q4,3,3.990000,0.010000,298.000000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,29063294000182-1-000181/2024,https://pncp.gov.br/app/editais/29063294000182-1-000181/2024
7,45006805900452024,4500680590045202400017,32512501000143-1-000050/2024,32512501000143-1-000050/2024,32512501000143,MUNICIPIO DE VOLTA REDONDA,PREFEITURA MUNICIPAL DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,20159008000102,MARMED DISTRIBUIDORA DE MEDICAMENTOS E MATERIAL HOSPITALAR LTDA,Desinfetante,"DESINFETANTE, COMPOSIÇÃO À BASE DE QUATERNÁRIO DE AMÔNIO, FORMA FÍSICA SOLUÇÃOAQUOSA CONCENTRADA, CARACTERÍSTICA ADICIONAL COM AROMA",Material,420084,420084,catmat,2257.000000,Litro,23.300000,52588.100000,1001+,2024Q3,3,0.090000,0.000000,258.888889,price_over_median,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32512501000143-1-000050/2024,https://pncp.gov.br/app/editais/32512501000143-1-000050/2024
8,92685005901352024,9268500590135202400062,39563911000162-1-000165/2024,39563911000162-1-000165/2024,39563911000162,FUNDO MUNICIPAL DE SAUDE PMVR SMS,FUNDO MUNICIPAL DE SAÚDE DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Pregão - Eletrônico,,,Dexametasona,Dexametasona Dosagem: 4MG,Material,269388,269388,catmat,29000.000000,"Ampola 2,50 ML",2.710000,78590.000000,1001+,2024Q4,7,0.190000,0.010000,252.000000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,39563911000162-1-000165/2024,https://pncp.gov.br/app/editais/39563911000162-1-000165/2024
9,45006807001132024,4500680700113202400020,32512501000143-1-000248/2024,32512501000143-1-000248/2024,32512501000143,MUNICIPIO DE VOLTA REDONDA,PREFEITURA MUNICIPAL DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Inexigibilidade,31848674000174,ASSOCIACAO DOS PRODUTORES FAMILIARES DE SANTA RITA,Legume In Natura tipo: chuchu verde,Legume In Natura tipo: chuchu verde,Material,463778,463778,catmat,11750.000000,Quilograma,7.180000,84365.000000,1001+,2024Q4,7,2.480000,0.020000,235.000000,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32512501000143-1-000248/2024,https://pncp.gov.br/app/editais/32512501000143-1-000248/2024
10,45006806990122024,4500680699012202400008,32512501000143-1-000181/2024,32512501000143-1-000181/2024,32512501000143,MUNICIPIO DE VOLTA REDONDA,PREFEITURA MUNICIPAL DE VOLTA REDONDA-RJ,VOLTA REDONDA,RJ,3306305,Dispensa,24195207000127,MANOEL GOMES DE OLIVEIRA NETO,Confecção / instalação de artefato texteis / couro / borracha / lona,Confecção / instalação de artefato texteis / couro / borracha / lona,Serviço,16390,16390,both,1.000000,UN,259.000000,259.000000,1,2024Q4,7,151.050000,0.470000,229.680851,mad_units,false,,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA_ITEM-2024.csv,https://repositorio.dados.gov.br/seges/comprasgov/anual/2024/comprasGOV-anual-VW_FT_PNCP_COMPRA-2024.csv,32512501000143-1-000181/2024,https://pncp.gov.br/app/editais/32512501000143-1-000181/2024
