raw;canonical;to_base_factor;base_unit
UN;un;1;un
UND;un;1;un
UNID;un;1;un
UNIDADE;un;1;un
UNIDADES;un;1;un
PC;un;1;un
PÇ;un;1;un
PECA;un;1;un
PEÇAS;un;1;un
PECA;un;1;un
PCS;un;1;un
KG;kg;1;kg
QUILO;kg;1;kg
QUILOGRAMA;kg;1;kg
QUILOGRAMAS;kg;1;kg
KILO;kg;1;kg
G;kg;0.001;kg
GR;kg;0.001;kg
GRAMA;kg;0.001;kg
GRAMAS;kg;0.001;kg
MG;kg;0.000001;kg
MILIGRAMA;kg;0.000001;kg
T;kg;1000;kg
TON;kg;1000;kg
TONELADA;kg;1000;kg
TONELADAS;kg;1000;kg
L;l;1;l
LT;l;1;l
LTR;l;1;l
LITRO;l;1;l
LITROS;l;1;l
ML;l;0.001;l
MILILITRO;l;0.001;l
MILILITROS;l;0.001;l
M;m;1;m
MT;m;1;m
MTS;m;1;m
METRO;m;1;m
METROS;m;1;m
CM;m;0.01;m
CENTIMETRO;m;0.01;m
MM;m;0.001;m
MILIMETRO;m;0.001;m
KM;m;1000;m
M2;m2;1;m2
M²;m2;1;m2
M 2;m2;1;m2
METRO QUADRADO;m2;1;m2
METROS QUADRADOS;m2;1;m2
M3;m3;1;m3
M³;m3;1;m3
M 3;m3;1;m3
METRO CUBICO;m3;1;m3
METROS CUBICOS;m3;1;m3
H;h;1;h
HR;h;1;h
HRS;h;1;h
HORA;h;1;h
HORAS;h;1;h
DIA;d;1;d
DIAS;d;1;d
MES;mes;1;mes
MÊS;mes;1;mes
MESES;mes;1;mes
ANO;ano;1;ano
ANOS;ano;1;ano
CX;cx;1;cx
CXA;cx;1;cx
CAIXA;cx;1;cx
CAIXAS;cx;1;cx
PCT;pct;1;pct
PCTE;pct;1;pct
PACOTE;pct;1;pct
PACOTES;pct;1;pct
PAR;par;1;par
PARES;par;1;par
JG;kit;1;kit
JOGO;kit;1;kit
KIT;kit;1;kit
KITS;kit;1;kit
RL;rolo;1;rolo
ROLO;rolo;1;rolo
ROLOS;rolo;1;rolo
FD;fardo;1;fardo
FARDO;fardo;1;fardo
BD;balde;1;balde
BALDE;balde;1;balde
GL;galao;1;galao
GALAO;galao;1;galao
GALÃO;galao;1;galao
TB;tubo;1;tubo
TUBO;tubo;1;tubo
FR;frasco;1;frasco
FRASCO;frasco;1;frasco
FRASCOS;frasco;1;frasco
AM;ampola;1;ampola
AMP;ampola;1;ampola
AMPOLA;ampola;1;ampola
AMPOLAS;ampola;1;ampola
CP;comprimido;1;comprimido
COMP;comprimido;1;comprimido
COMPRIMIDO;comprimido;1;comprimido
COMPRIMIDOS;comprimido;1;comprimido
CAP;capsula;1;capsula
CAPSULA;capsula;1;capsula
CÁPSULA;capsula;1;capsula
SC;saco;1;saco
SACO;saco;1;saco
SACOS;saco;1;saco
SAC;saco;1;saco
DZ;duzia;1;duzia
DUZIA;duzia;1;duzia
DÚZIA;duzia;1;duzia
CENTO;cento;1;cento
RESMA;resma;1;resma
FOLHA;folha;1;folha
FL;folha;1;folha
LATA;lata;1;lata
BARRA;barra;1;barra
BLOCO;bloco;1;bloco
BISNAGA;bisnaga;1;bisnaga
POTE;pote;1;pote
VB;verba;1;verba
VERBA;verba;1;verba
SV;servico;1;servico
SERVICO;servico;1;servico
SERVIÇO;servico;1;servico
SERVICOS;servico;1;servico
CX 10;un;10;un
CX/10;un;10;un
CX10;un;10;un
CX 12;un;12;un
CX/12;un;12;un
CX 50;un;50;un
CX 100;un;100;un
RESMA 500;folha;500;folha
