record_id;descricaodetalhada;materialOuServico;codItemCatalogo;unidadeMedida;quantidade;valorUnitarioResultado;valorTotalResultado;quantidadeResultado;orgaoEntidadeCnpj;orgaoEntidadeRazaoSocial;orgaoEntidadeEsferaId;unidadeOrgaoUfSigla;unidadeOrgaoCodigoIbge;unidadeOrgaoMunicipioNome;numeroControlePncp;anoCompraPncp;dataPublicacaoPncp;codFornecedor;nomeFornecedor
a2-knn-papel;PAPEL SULFITE A4 75 GRAMAS RESMA;M;;UN;10;5.00;50.00;10;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
a2-knn-papel-2;PAPEL SULFITE A4 75 GRAMAS RESMA;M;;UN;8;5.00;40.00;8;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
a2-amb;PAPEL ARROZ TIPO 1 A4 CANETA AZUL;M;;UN;1;10.00;10.00;1;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
a2-exact;PAPEL SULFITE A4 75 GRAMAS RESMA;M;333333;UN;2;5.00;10.00;2;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
a2-spec-med;DIPIRONA SODICA 500MG/ML SOL INJ 20ML;M;222222;UN;6;3.45;20.70;6;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
a2-spec-empty;SERVICO AVULSO EVENTUAL;S;;UN;1;10.00;10.00;1;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
a2-cx-com;PAPEL SULFITE A4 75G;M;111111;CAIXA COM 10;10;50.00;500.00;10;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
a2-pct;PAPEL SULFITE A4 75G;M;111111;PACOTE C/ 100;4;20.00;80.00;4;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
a2-cx;PAPEL SULFITE A4 75G;M;111111;CX;2;50.00;100.00;2;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
a2-foobar;PAPEL SULFITE A4 75G;M;111111;FOOBAR;1;100.00;100.00;1;29477000000180;PREFEITURA MUNICIPAL DE VOLTA REDONDA;M;RJ;3306305;Volta Redonda;29477000000180-1-2024-00A201;2024;2024-03-15;11222333000181;PAPELARIA NOVA LTDA
